Invoice number,Callsign,Departure,IATA,Arrival,IATA.1,FLIGHTDATE,AC Type,Registration,Total Bill,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,FLIGHT_TYPE,Reg_Clean,MTOW_in_KGs,MTOW_Tonnes,CALCULATED_CHARGE,TOTAL_BILL_NUM,STATUS
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,15-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC935,VABB,BOM,OEDF,DMM,24-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,26-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,27-Oct-25,A20N,VTTNY,180.0,,,,,,,,,,,,With landing,VTTNY,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,29-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2287,VABB,BOM,OEDF,DMM,06-Oct-25,A20N,VTTNX,350.0,,,,,,,,,,,,Without landing rate,VTTNX,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC2288,OEDF,DMM,VABB,BOM,01-Oct-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC935,VABB,BOM,OEDF,DMM,06-Oct-25,A20N,VTTNP,350.0,,,,,,,,,,,,Without landing rate,VTTNP,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,30-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,27-Oct-25,A20N,VTTNY,180.0,,,,,,,,,,,,With landing,VTTNY,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,26-Oct-25,A20N,VTTNV,180.0,,,,,,,,,,,,With landing,VTTNV,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2249,VABB,BOM,OEDF,DMM,30-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC969,VABB,BOM,OTHH,DOH,22-Oct-25,A20N,VTTNU,180.0,,,,,,,,,,,,With landing,VTTNU,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,27-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,14-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,18-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,01-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2249,VABB,BOM,OEDF,DMM,29-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC2287,VABB,BOM,OEDF,DMM,16-Oct-25,A20N,VTTNQ,350.0,,,,,,,,,,,,Without landing rate,VTTNQ,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,29-Oct-25,A20N,VTTQJ,180.0,,,,,,,,,,,,With landing,VTTQJ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,13-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,28-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,26-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
