Invoice No,"Line number
reference","Item
Description","Billing
Reference",Date,Time,"Aircraft
ID","Flight
Number","Origin
Code",Dest. Code,Entry Point,Exit Point,"Distance
Km","Aircraft
Type","Weight
Factor","Distance
Factor","Flight
Type","En-Route
Charge",Approach Charge,"Flight Total
Charge","Item Subtotal
Including VAT"
502012523021670,71,"Landings -
12905063",12905063,08-Jun-25,0.625868,VTCIG,AIC926,OERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,72,"Landings -
12905342",12905342,08-Jun-25,0.720833,VTEXL,AJC991,VIDP,OEJN,TOKRA,OEJN,1675,A320,1.26,16.75,s,2490.39,252,2742.39,2742.39
502012523021670,73,"Landings -
12905658",12905658,08-Jun-25,0.778692,VTEXL,AIC992,OEJN,VIDP,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,74,"Landings -
12905539",12905539,08-Jun-25,I 8:59:00,VTCIP,AIC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,75,Landings - 12905742,12905742,08-Jun-25,0.856944,VTCIP,AIC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,76,"Landings -
12906578",12906578,09-Jun-25,0.100694,VTEXP,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,77,"Landings -
12906875",12906875,09-Jun-25,0.189722,VTEXP,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1.376.78,1376.78
502012523021670,78,"Landings -
12908080",12908080,09-Jun-25,0.724306,VTCIH,AIC991,VIDP,OEJN,ULADA,OEJN,1241,A320,1.26,12.41,s,1845.12,252,2.097.12,2097.12
502012523021670,79,Landings - 12908459,12908459,09-Jun-25,0.77853,VTCIH,AIC992,OEJN,VIDP,OEJN,DAROR,1247,A320,1.26,12.47,s,1854.04,0,1.854.04,1854.04
502012523021670,80,"Landings -
12908399",12908399,09-Jun-25,0.786806,VTEXP,AJC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,81,"Landings -
12908644",12908644,09-Jun-25,0.864792,VTEXP,AIC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,82,Landings - 12909691,12909691,10-Jun-25,0.093056,VTEXS,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,83,Landings - 12910002,12910002,10-Jun-25,0.176285,VTEXS,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,84,Landings - 12910930,12910930,10-Jun-25,0.557639,VTCIM,AIC925,VIDP,OERK,ULADA,OERK,389,A320,1.26,3.89,s,578.37,252,830.37,830.37
502012523021670,85,"Landings -
12911165",12911165,10-Jun-25,0.61265,VTCIM,AIC926,OERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,86,"Landings -
12911427",12911427,10-Jun-25,0.682639,VTCIN,AIC937,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,87,"Landings -
12911558",12911558,10-Jun-25,0.732639,VTEXL,AJC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,88,"Landings -
12911681",12911681,10-Jun-25,0.770833,VTEXS,AIC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
