Invoice No,Flight Number,Aircraft ID,Origin Code,Dest. Code,Distance Km,MTOW_Tonnes,Calc_Weight_Factor,Calculated_Charge,Vendor_Charge,Status
502012523021670,AICl31,VTAEO,VABB,EGLL,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AICl55,VTANV,VIDP,EHAM,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AICl43,VTANV,VIDP,LFPG,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AICI06D,VTJRE,LOWW,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AJC2017,VTTSE,VIDP,EGLL,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AIC\57,VTANN,VlDP,EKCH,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AICl62,VTJRJ,EGLL,VIDP,1441.0,,,,4063.91,Not Matched
502012523021670,AICl37,VTANH,VIDP,LIMC,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AICll3,VTANX,VIDP,EGBB,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC2029,VTTSN,VIDP,EDDF,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AICl51,VTANA,VIDP,LSZH,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC2016,VTTSP,EDDF,VIDP,1441.0,247.207,2.22,3774.84,3825.86,Not Matched
502012523021670,AIC931,VTCIP,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AJC991,VTCIQ,VIDP,OEJN,1241.0,79.0,1.26,1845.12,2097.12,Not Matched
502012523021670,AIC992,VTCIQ,OEJN,VIDP,1247.0,79.0,1.26,1854.04,1854.04,Matched
502012523021670,AIC935,VTTNP,VABB,OEDF,36.0,77.0,1.24,52.68,305.52,Not Matched
502012523021670,AIC932,VTCIP,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC936,VTTNP,OEDF,VABB,58.0,77.0,1.24,84.87,86.23,Not Matched
502012523021670,AICll9,VTAER,VABB,KJFK,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AICl27,VTALR,VIDP,LOWW,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AIC187,VTALU,VIDP,LOWW,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AJCl56,VTANV,EHAM,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AIC\61,VTJRE,VlDP,EGLL,1538.0,280.0,2.37,4301.17,4337.47,Not Matched
502012523021670,AICl05,VTJRA,VIDP,KEWR,1538.0,280.0,2.37,4301.17,4337.47,Not Matched
502012523021670,AICl38,VTANH,LIMC,VIDP,1441.0,227.93,2.14,3638.81,,Not Matched
502012523021670,AICI0I,VTJRI,VIDP,KJFK,1538.0,280.0,2.37,4301.17,4337.47,Not Matched
502012523021670,AICl42,VTANY,LFPG,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AIC921,VTEXI,VABB,DERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AJCl29,VTAEM,VABB,EGLL,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AICl30,VTAEO,EGLL,VABB,1441.0,351.534,2.65,4506.01,4506.01,Matched
502012523021670,AJCl58,VTANN,EKCH,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AICl32,VTANE,EGLL,VOBL,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AIC103,VTNAC,VlDP,LOWW,,227.93,2.14,,3883.76,Not Matched
502012523021670,AIC2018,VTTSE,EGLL,VIDP,1441.0,247.207,2.22,3774.84,3825.86,Not Matched
502012523021670,AICl89,VTALM,VIDP,LOWW,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AICll8,VTANX,EGBB,VIAR,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AIC922,VTEXH,OERK,VABB,926.0,79.0,1.26,1376.78,,Not Matched
502012523021670,AICIII,VTJRB,VlDP,EGLL,1538.0,280.0,2.37,4301.17,4337.47,Not Matched
502012523021670,AJC2025,VTTSP,VIDP,EDDF,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AIC\26,VTALK,KORD,VIDP,1441.0,351.534,2.65,4506.01,4506.01,Matched
502012523021670,AJCl47D,VTANS,VIDP,LFPG,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AICI02,VTJRF,KJFK,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AIC203D,VTTSN,EDDF,VIDP,1441.0,247.207,2.22,3774.84,3825.86,Not Matched
