AIRCRAFT_REG,FROM_IATA,TO_IATA,MTOW_tonnes,FLIGHT_TYPE,Unit_Rate_mapped,Vendor_Charge,Difference,Status
VTTSO,VIDP,EGLL,,Without landing (Overflight),,334.0,,Not Matched
VTSCF,VIDP,OMDB,68.0,Without landing (Overflight),60.0,60.0,0.0,Matched
VTTVA,VABB,OMDB,,Without landing (Overflight),,60.0,,Not Matched
VTJRF,EGLL,VIDP,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANH,OMDB,VABB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTALT,CYYZ,VIDP,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTJRB,EGLL,VIDP,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSO,OMDB,VIDP,,Without landing (Overflight),,90.0,,Not Matched
VTTVA,OMDB,VABB,,Without landing (Overflight),,60.0,,Not Matched
VTRTT,OEDF,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTCIH,VABB,OERK,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTRTT,OEDF,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTAEQ,VABB,EGLL,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIP,OMDB,VOCI,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTCIQ,OMDB,VOMM,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTALS,VIDP,LOWW,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTTSH,VIDP,LFPG,,Without landing (Overflight),,334.0,,Not Matched
VTEXP,OTHH,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTEXG,OTHH,VIDP,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTCIH,OMAA,VABB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTTSN,VIDP,EDDF,,Without landing (Overflight),,334.0,,Not Matched
VTANE,VIDP,EHAM,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAER,EGLL,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTTSO,EGLL,VIDP,,Without landing (Overflight),,334.0,,Not Matched
VTPPX,VABB,OTHH,89.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANS,VIDP,EKCH,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXJ,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTRTU,VABB,OEJN,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTPPH,OTHH,VABB,89.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTALQ,OJAI,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIH,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTEDE,OMDB,VIDP,73.5,Without landing (Overflight),60.0,60.0,0.0,Matched
VTCIP,VABB,OERK,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTPPH,VABB,OTHH,89.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTNAA,VIDP,LFPG,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSD,EDDF,VIDP,247.207,Without landing (Overflight),90.0,334.0,244.0,Not Matched
VTTVA,OMDB,VABB,,Without landing (Overflight),,60.0,,Not Matched
VTCIP,OMDB,VOMM,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTANW,LIMC,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANU,EHAM,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANX,LFPG,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSH,EGLL,VIDP,,Without landing (Overflight),,334.0,,Not Matched
VTANM,VIDP,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTALM,EGLL,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
