UTC_DATE,FLIGHT_ID,AC_IDENT,MTOW,WEIGHT FACTOR,BILLDIST,AMOUNT,TOTAL,CALCULATED_CHARGE,VERIFICATION_STATUS
18-10-2025,AIC174,VTAEH,347.5,18.64135188,804,528.16,528.16,528.16,Matched
18-10-2025,AIC176,VTAEM,351.5,18.74833326,619,408.97,408.97,408.97,Matched
19-10-2025,AIC184,VTALS,351.5,18.74833326,2602,1719.12,1719.12,1719.12,Matched
19-10-2025,AIC101,VTJRA,280.0,16.73320053,1320,778.37,778.37,778.37,Matched
19-10-2025,AIC102,VTJRA,280.0,16.73320053,1382,814.93,814.93,814.93,Matched
19-10-2025,AIC116,VTAEP,351.5,18.74833326,1422,939.5,939.5,939.5,Matched
19-10-2025,AIC119,VTAEP,351.5,18.74833326,1132,747.9,747.9,747.9,Matched
19-10-2025,AIC126,VTALN,351.5,18.74833326,2185,1443.61,1443.61,1443.61,Matched
19-10-2025,AIC127,VTALN,351.5,18.74833326,2217,1464.75,1464.75,1464.75,Matched
19-10-2025,AIC144,VTAEQ,351.5,18.74833326,1393,920.34,920.34,920.34,Matched
19-10-2025,AIC174,VTAEI,347.5,18.64135188,2732,1794.71,1794.71,1794.71,Matched
19-10-2025,AIC180,VTAER,351.5,18.74833326,2600,1717.8,1717.8,1717.8,Matched
20-10-2025,AIC180,VTAEM,351.5,18.74833326,500,330.35,330.35,330.35,Matched
19-10-2025,AIC191,VTAEQ,351.5,18.74833326,1130,746.58,746.58,746.58,Matched
20-10-2025,AIC101,VTJRF,280.0,16.73320053,1519,895.72,895.72,895.72,Matched
20-10-2025,AIC102,VTJRF,280.0,16.73320053,1365,804.91,804.91,804.91,Matched
20-10-2025,AIC105,VTJRE,280.0,16.73320053,1369,807.27,807.27,807.27,Matched
20-10-2025,AIC106,VTJRE,280.0,16.73320053,1343,791.94,791.94,791.94,Matched
20-10-2025,AIC116,VTAEN,351.5,18.74833326,1435,948.09,948.09,948.09,Matched
21-10-2025,AIC119,VTAER,351.5,18.74833326,1293,854.27,854.27,854.27,Matched
20-10-2025,AIC119D,VTAEN,351.5,18.74833326,1480,977.82,977.82,977.82,Matched
20-10-2025,AIC126,VTALX,351.5,18.74833326,2121,1401.33,1401.33,1401.33,Matched
