Invoice Number,No,Date,Ident,Airc Type,Reg,From-to,Routing,Dist.,tonn,Amount
4AIC-453,176,45754,AIC152,B788,VTANE,LARGI-KESEK-MARAD-RANAH,LSZH-VIDP,1161,220,975.24
4AIC-453,177,45754,AIC155,B788,VTANW,RANAH-MARAD-KESEK-LARGI,VIDP-EHAM,1161,220,975.24
4AIC-453,178,45754,AIC156,B788,VTANW,LARGI-KESEK-NINOP-LEMOD,EHAM-VIDP,1221,220,1025.64
4AIC-453,179,45754,AIC157,B788,VTANS,RANAH-MARAD-SAPAR-RODAR,VIDP-EKCH,1172,220,984.48
4AIC-453,180,45754,AIC158,B788,VTANY,DUKAN-SAHET-NINOP-LEMOD,EKCH-VIDP,1212,220,1018.08
4AIC-453,181,45754,AIC158,B788,VTANS,LARGI-KESEK-NINOP-LEMOD,EKCH-VIDP,1221,220,1025.64
4AIC-453,182,45754,AIC161,A359,VTJRA,LEMOD-NINOP-KESEK-RODAR,VIDP-EGLL,1228,280,1031.52
4AIC-453,183,45754,AIC162,A359,VTJRA,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,184,45754,AIC170,B788,VTANC,LARGI-KESEK-NINOP-LEMOD,EGKK-VIAR,1221,220,1025.64
4AIC-453,185,45754,AIC180,B772,VTAEF,DARVA-SAGAT-NINOP-NAZAR,KSFO-VABB,617,345,555.3
4AIC-453,186,45754,AIC2017,B789,VTTSH,RANAH-MARAD-ARBAT-BODKA,VIDP-EGLL,1143,247,960.12
4AIC-453,187,45754,AIC2018,B789,VTTSN,LARGI-KESEK-NINOP-LEMOD,EGLL-VIDP,1221,247,1025.64
4AIC-453,188,45754,AIC2029,B789,VTTSP,RANAH-MARAD-ARBAT-BODKA,VIDP-EDDF,1143,247,960.12
4AIC-453,189,45754,AIC2030,B789,VTTSP,BODKA-ARBAT-NINOP-LEMOD,EDDF-VIDP,1203,247,1010.52
4AIC-453,190,45754,AUV141,A320,UK32080,MANAT-NINOP-NAZAR,UTTT-OEMA,433,77,324.75
4AIC-453,191,45754,AUV142,A320,UK32080,NAZAR-NINOP-MANAT,OEMA-UTTT,433,77,324.75
4AIC-453,192,45755,AIC111,A359,VTJRE,RANAH-MARAD-SAHET-DUKAN,VIDP-EGLL,1151,280,966.84
4AIC-453,193,45755,AIC112,A359,VTJRE,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,194,45755,AIC114,B788,VTANX,LARGI-KESEK-NINOP-LEMOD,EGBB-VIDP,1221,220,1025.64
4AIC-453,195,45755,AIC117,B788,VTANE,LEMOD-NINOP-KESEK-RODAR,VIAR-EGBB,1228,220,1031.52
4AIC-453,196,45755,AIC137,B788,VTNAA,RANAH-MARAD-SAHET-DUKAN,VIDP-LIMC,1151,220,966.84
4AIC-453,197,45755,AIC138,B788,VTNAA,BODKA-ARBAT-MARAD-RANAH,LIMC-VIDP,1143,220,960.12
4AIC-453,198,45755,AIC142,B788,VTANY,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,220,1010.52
4AIC-453,199,45755,AIC142,B788,VTANX,BODKA-ARBAT-MARAD-RANAH,LFPG-VIDP,1143,220,960.12
4AIC-453,200,45755,AIC143,B788,VTANX,RANAH-MARAD-SAHET-DUKAN,VIDP-LFPG,1151,220,966.84
4AIC-453,201,45755,AIC147,B789,VTTSE,RANAH-MARAD-ARBAT-BODKA,VIDP-LFPG,1143,250,960.12
4AIC-453,202,45755,AIC148,B789,VTTSE,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,250,1010.52
4AIC-453,203,45755,AIC153,B788,VTANO,RANAH-MARAD-SAPAR-RODAR,VIDP-LOWW,1172,220,984.48
4AIC-453,204,45755,AIC154,B788,VTANO,BODKA-ARBAT-NINOP-LEMOD,LOWW-VIDP,1203,220,1010.52
4AIC-453,205,45755,AIC155,B788,VTANW,RANAH-MARAD-SAPAR-RODAR,VIDP-EHAM,1172,220,984.48
