Flight_DateTime,Flight_No,Aircraft_Reg,Aircraft_Type,MTOW_Tonnes,MTOW_kg,Distance_km,Distance_Factor,Unit_Rate,Weight_Factor,Calculated_Charge,Vendor_Charge,Status
"2025-09-02
10:02","AIC1
11",VTJRH,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
"2025-09-02
12:37",AIC9 18,VTTVE,A21N,89.0,89000.0,799.0,7.99,31.34,1.22,305.5,305.5,Matched
"2025-09-02
13:18",AIC9 25,VTCID,A20N,79.0,79000.0,878.0,8.78,31.34,1.22,335.7,335.7,Matched
"2025-09-02
13:52","AIC2
201",VTTVA,A21N,89.0,89000.0,731.0,7.31,31.34,1.22,279.5,279.5,Matched
"2025-09-02
14:35",AIC9 34,VTRTT,A20N,79.0,79000.0,659.0,6.59,31.34,1.22,251.97,251.97,Matched
"2025-09-02
16:26",AIC9 91,VTCIP,A20N,79.0,79000.0,878.0,8.78,31.34,1.22,335.7,335.7,Matched
"2025-09-02
16:29",AIC1 55,VTALP,B77W,352.0,352000.0,774.0,7.74,31.34,1.95,473.01,473.01,Matched
"2025-09-02
16:39","AIC9
37",VTEXP,A20N,77.0,77000.0,806.0,8.06,31.34,1.22,308.17,308.17,Matched
"2025-09-02
16:45","AIC1
17",VTANW,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
17:08",AIC1 43,VTANR,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
17:16","AIC1
37",VTAND,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
17:16",AIC9 05,VTCIQ,A20N,79.0,79000.0,698.0,6.98,31.34,1.22,266.88,266.88,Matched
,,,,,,,,,,,,Not Matched
,,,,,,,,,,,,Not Matched
Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,,,,,,,,,Not Matched
"2025-09-02
17:32",AIC2 017,VTTSP,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
17:32",AIC2 029,VTTSH,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
17:32","AIC2
283",VTEXN,A20N,77.0,77000.0,774.0,7.74,31.34,1.22,295.94,295.94,Matched
"2025-09-02
17:34","AIC1
35",VTANJ,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
17:40","AIC9
31",VTEXJ,A20N,77.0,77000.0,806.0,8.06,31.34,1.22,308.17,308.17,Matched
"2025-09-02
17:43",AIC2 289,VTTNX,A20N,77.0,77000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-02
17:46",AIC9 20,VTTQI,A20N,77.0,77000.0,705.0,7.05,31.34,1.22,269.56,269.56,Matched
"2025-09-02
18:33","AIC2
015",VTTSO,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
18:41","AIC2
202",VTTVA,A21N,89.0,89000.0,747.0,7.47,31.34,1.22,285.61,285.61,Matched
"2025-09-02
18:46",AIC1 62,VTJRA,A359,280.0,280000.0,779.0,7.79,31.34,1.8,439.45,439.45,Matched
"2025-09-02
18:49","AIC1
31",VTALS,B77W,352.0,352000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-09-02
18:58",AIC1 53,VTANU,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
19:22",AIC9 26,VTCID,A20N,79.0,79000.0,779.0,7.79,31.34,1.22,297.85,297.85,Matched
"2025-09-02
20:10","AIC9
16",VTANK,B788,228.0,228000.0,799.0,7.99,31.34,1.71,428.2,428.2,Matched
"2025-09-02
20:29",AIC2 026,VTTSE,B789,255.0,255000.0,453.0,4.53,31.34,1.71,242.77,242.77,Matched
"2025-09-02
20:41",AIC1 28,VTAEN,B77W,352.0,352000.0,732.0,7.32,31.34,1.95,447.35,447.35,Matched
"2025-09-02
21:30",AIC9 35,VTTQA,A20N,77.0,77000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-02
21:56","AIC1
12",VTJRH,A359,280.0,280000.0,779.0,7.79,31.34,1.8,439.45,439.45,Matched
"2025-09-02
22:40","AIC2
290",VTTNX,A20N,77.0,77000.0,732.0,7.32,31.34,1.22,279.88,279.88,Matched
"2025-09-02
22:44",AIC9 84,VTANI,B788,228.0,228000.0,747.0,7.47,31.34,1.71,400.33,400.33,Matched
"2025-09-02
22:53","AIC2
287",VTRTT,A20N,79.0,79000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-02
23:05",AIC9 92,VTCIP,A20N,79.0,79000.0,875.0,8.75,31.34,1.22,334.55,334.55,Matched
,,,,,,,,,,,,Not Matched
,,,,,,,,,,,,Not Matched
Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,,,,,,,,,Not Matched
"2025-09-02
23:14",AIC2 284,VTEXN,A20N,77.0,77000.0,779.0,7.79,31.34,1.22,297.85,297.85,Matched
"2025-09-02
23:18",AIC2 204,VTTNV,A20N,77.0,77000.0,754.0,7.54,31.34,1.22,288.29,288.29,Matched
"2025-09-02
23:20","AIC9
46",VTTNY,A20N,77.0,77000.0,785.0,7.85,31.34,1.22,300.14,300.14,Matched
"2025-09-02
23:27","AIC9
38",VTEXP,A20N,77.0,77000.0,797.0,7.97,31.34,1.22,304.73,304.73,Matched
"2025-09-02
23:27","AIC9
06",VTCIQ,A20N,79.0,79000.0,705.0,7.05,31.34,1.22,269.56,269.56,Matched
"2025-09-02
23:49",AIC9 96,VTANL,B788,228.0,228000.0,799.0,7.99,31.34,1.71,428.2,428.2,Matched
"2025-09-02
23:58",AIC1 91,VTAER,B77W,352.0,352000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-09-03
00:00","AIC1
19",VTAEP,B77W,352.0,352000.0,424.0,4.24,31.34,1.95,259.12,259.12,Matched
"2025-09-03
00:00","AIC9
45",VTCIE,A20N,79.0,79000.0,792.0,7.92,31.34,1.22,302.82,302.82,Matched
"2025-09-03
00:00",AIC9 05,VTRTS,A20N,77.0,77000.0,698.0,6.98,31.34,1.22,266.88,266.88,Matched
"2025-09-03
00:00","AIC2
203",VTTQF,A20N,77.0,77000.0,731.0,7.31,31.34,1.22,279.5,279.5,Matched
"2025-09-03
00:00",AIC2 209,VTTSO,B789,255.0,255000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
"2025-09-03
00:00",AIC9 33,VTEXP,A20N,77.0,77000.0,659.0,6.59,31.34,1.22,251.97,251.97,Matched
"2025-09-03
00:00","AIC9
29",VTANY,B788,228.0,228000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
"2025-09-03
00:00",AIC1 05,VTJRI,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
"2025-09-03
00:00",AIC9 15,VTANW,B788,228.0,228000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
"2025-09-03
00:00",AIC1 01,VTJRB,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
"2025-09-03
00:00","AIC9
19",VTRTT,A20N,79.0,79000.0,731.0,7.31,31.34,1.22,279.5,279.5,Matched
"2025-09-03
00:00","AIC9
83",VTANI,B788,228.0,228000.0,731.0,7.31,31.34,1.71,391.75,391.75,Matched
"2025-09-03
00:00",AIC1 26,VTAEF,B77L,348.0,348000.0,875.0,8.75,31.34,1.95,534.74,534.74,Matched
"2025-09-03
00:01","AIC9
46",VTCIE,A20N,79.0,79000.0,785.0,7.85,31.34,1.22,300.14,300.14,Matched
"2025-09-03
00:31",AIC9 36,VTTNY,A20N,77.0,77000.0,785.0,7.85,31.34,1.22,300.14,300.14,Matched
,,,,,,,,,,,,Not Matched
,,,,,,,,,,,,Not Matched
Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,,,,,,,,,Not Matched
"2025-09-03
01:54",AIC9 32,VTEXG,A20N,77.0,77000.0,797.0,7.97,31.34,1.22,304.73,304.73,Matched
"2025-09-03
02:16",AIC9 21,VTCIQ,A20N,79.0,79000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-03
03:38","AIC1
38",VTANJ,B788,228.0,228000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-09-03
04:17","AIC2
288",VTRTT,A20N,79.0,79000.0,785.0,7.85,31.34,1.22,300.14,300.14,Matched
"2025-09-03
04:29","AIC1
87",VTALR,B77W,352.0,352000.0,774.0,7.74,31.34,1.95,473.01,473.01,Matched
"2025-09-03
04:35",AIC1 34,VTANJ,B788,228.0,228000.0,453.0,4.53,31.34,1.71,242.77,242.77,Matched
"2025-09-03
04:51",AIC1 18,VTAND,B788,228.0,228000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-09-03
05:00","AIC1
42",VTANV,B788,228.0,228000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-09-03
05:28","AIC9
09",VTANI,B788,228.0,228000.0,698.0,6.98,31.34,1.71,374.07,374.07,Matched
"2025-09-03
05:32",AIC1 18,VTANW,B788,228.0,228000.0,453.0,4.53,31.34,1.71,242.77,242.77,Matched
"2025-09-03
05:37","AIC1
56",VTALP,B77W,352.0,352000.0,779.0,7.79,31.34,1.95,476.07,476.07,Matched
"2025-09-03
05:56",AIC1 30,VTAEO,B77W,352.0,352000.0,424.0,4.24,31.34,1.95,259.12,259.12,Matched
"2025-09-03
06:02",AIC2 016,VTTSO,B789,255.0,255000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-09-03
06:10","AIC1
61",VTJRA,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
"2025-09-03
08:01",AIC9 17,VTTVE,A21N,89.0,89000.0,781.0,7.81,31.34,1.22,298.61,298.61,Matched
"2025-09-03
08:03",AIC9 22,VTTQI,A20N,77.0,77000.0,732.0,7.32,31.34,1.22,279.88,279.88,Matched
"2025-09-03
08:30",AIC1 32,VTANK,B788,228.0,228000.0,732.0,7.32,31.34,1.71,392.29,392.29,Matched
"2025-09-03
09:05","AIC1
88",VTALN,B77W,352.0,352000.0,779.0,7.79,31.34,1.95,476.07,476.07,Matched
"2025-09-03
09:10","AIC1
88",VTALN,B77W,352.0,352000.0,779.0,7.79,31.34,1.95,476.07,476.07,Matched
"2025-09-03
10:23",AIC1 11,VTJRH,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
"2025-09-03
10:50","AIC9
10",VTANI,B788,228.0,228000.0,792.0,7.92,31.34,1.71,424.44,424.44,Matched
